timestamp,news_text,prediction,confidence,stage,ml_says,sources,links
2025-10-17 23:39:52,Chinese Communist Party expels top generals in sweeping military crackdown,VERIFIED REAL,0.85,ML + Web Verified,real,"bbc.com, reuters.com, thehindu.com, ndtv.com, timesofindia.indiatimes.com, hindustantimes.com, indianexpress.com",None
2025-10-17 23:40:50,Chinese Communist Party expels top generals in sweeping military crackdown The Chinese Communist Party has expelled nine top generals in one of its largest public crackdowns on the military in decades,VERIFIED REAL,0.85,ML + Web Verified,real,"bbc.com, reuters.com, thehindu.com, ndtv.com, timesofindia.indiatimes.com, hindustantimes.com, indianexpress.com",None
2025-10-17 23:41:30,Reese Witherspoon on writing a thriller: 'What do girls in bikinis have to do with solving crime?,VERIFIED REAL,0.85,ML + Web Verified,fake,"bbc.com, reuters.com, thehindu.com, ndtv.com, timesofindia.indiatimes.com, hindustantimes.com, indianexpress.com",None
2025-10-17 23:42:18,MNS Workers Beat Salon Owner For Allegedly Abusing Woman Staffer,FAKE,0.90,ML Only,fake,None,None
2025-10-17 23:42:56,MNS Workers Beat Salon Owner For Allegedly Abusing Woman Staffer A salon owner was beaten up by the workers of Raj Thackeray's Maharashtra Navnirman Sena (MNS) in Navi Mumbai over an accusation that h,FAKE,0.96,ML Only,fake,None,None
2025-10-17 23:50:24,MNS Workers Beat Salon Owner For Allegedly Abusing Woman Staffer A salon owner was beaten up by the workers of Raj Thackeray's Maharashtra Navnirman Sena (MNS) in Navi Mumbai over an accusation that h,VERIFIED REAL,0.90,Web Verified (2+ sources),fake,"timesofindia.indiatimes.com, thehindu.com, indianexpress.com, bbc.com, reuters.com",https://timesofindia.indiatimes.com/; https://epaper.thehindu.com/reader; https://indianexpress.com/
2025-10-17 23:50:24,MNS Workers Beat Salon Owner For Allegedly Abusing Woman Staffer A salon owner was beaten up by the workers of Raj Thackeray's Maharashtra Navnirman Sena (MNS) in Navi Mumbai over an accusation that h,VERIFIED REAL,0.90,Web Verified (2+ sources),fake,"timesofindia.indiatimes.com, thehindu.com, indianexpress.com, bbc.com, reuters.com",https://timesofindia.indiatimes.com/; https://epaper.thehindu.com/reader; https://indianexpress.com/
2025-10-17 23:50:25,MNS Workers Beat Salon Owner For Allegedly Abusing Woman Staffer A salon owner was beaten up by the workers of Raj Thackeray's Maharashtra Navnirman Sena (MNS) in Navi Mumbai over an accusation that h,VERIFIED REAL,0.90,Web Verified (2+ sources),fake,"timesofindia.indiatimes.com, thehindu.com, indianexpress.com, bbc.com, reuters.com",https://timesofindia.indiatimes.com/; https://epaper.thehindu.com/reader; https://indianexpress.com/
2025-10-17 23:50:28,MNS Workers Beat Salon Owner For Allegedly Abusing Woman Staffer A salon owner was beaten up by the workers of Raj Thackeray's Maharashtra Navnirman Sena (MNS) in Navi Mumbai over an accusation that h,VERIFIED REAL,0.90,Web Verified (2+ sources),fake,"timesofindia.indiatimes.com, thehindu.com, indianexpress.com, bbc.com, reuters.com",https://timesofindia.indiatimes.com/; https://epaper.thehindu.com/reader; https://indianexpress.com/
2025-10-17 23:50:29,MNS Workers Beat Salon Owner For Allegedly Abusing Woman Staffer A salon owner was beaten up by the workers of Raj Thackeray's Maharashtra Navnirman Sena (MNS) in Navi Mumbai over an accusation that h,VERIFIED REAL,0.90,Web Verified (2+ sources),fake,"timesofindia.indiatimes.com, thehindu.com, indianexpress.com, bbc.com, reuters.com",https://timesofindia.indiatimes.com/; https://epaper.thehindu.com/reader; https://indianexpress.com/
2025-10-17 23:50:29,MNS Workers Beat Salon Owner For Allegedly Abusing Woman Staffer A salon owner was beaten up by the workers of Raj Thackeray's Maharashtra Navnirman Sena (MNS) in Navi Mumbai over an accusation that h,VERIFIED REAL,0.90,Web Verified (2+ sources),fake,"timesofindia.indiatimes.com, thehindu.com, indianexpress.com, bbc.com, reuters.com",https://timesofindia.indiatimes.com/; https://epaper.thehindu.com/reader; https://indianexpress.com/
2025-10-17 23:50:33,MNS Workers Beat Salon Owner For Allegedly Abusing Woman Staffer A salon owner was beaten up by the workers of Raj Thackeray's Maharashtra Navnirman Sena (MNS) in Navi Mumbai over an accusation that h,VERIFIED REAL,0.90,Web Verified (2+ sources),fake,"timesofindia.indiatimes.com, thehindu.com, indianexpress.com, bbc.com, reuters.com",https://timesofindia.indiatimes.com/; https://epaper.thehindu.com/reader; https://indianexpress.com/
2025-10-17 23:50:33,MNS Workers Beat Salon Owner For Allegedly Abusing Woman Staffer A salon owner was beaten up by the workers of Raj Thackeray's Maharashtra Navnirman Sena (MNS) in Navi Mumbai over an accusation that h,VERIFIED REAL,0.90,Web Verified (2+ sources),fake,"timesofindia.indiatimes.com, thehindu.com, indianexpress.com, bbc.com, reuters.com",https://timesofindia.indiatimes.com/; https://epaper.thehindu.com/reader; https://indianexpress.com/
2025-10-17 23:51:20,MNS Workers Beat Salon Owner For Allegedly Abusing Woman Staffer A salon owner was beaten up by the workers of Raj Thackeray's Maharashtra Navnirman Sena (MNS) in Navi Mumbai over an accusation that h,VERIFIED REAL,0.90,Web Verified (2+ sources),fake,"timesofindia.indiatimes.com, thehindu.com, indianexpress.com, bbc.com, reuters.com",https://timesofindia.indiatimes.com/; https://epaper.thehindu.com/reader; https://indianexpress.com/
2025-10-17 23:59:05,MNS Workers Beat Salon Owner For Allegedly Abusing Woman Staffer,VERIFIED REAL,0.90,Web Verified (2+ sources),fake,"timesofindia.indiatimes.com, indianexpress.com, thehindu.com, reuters.com, bbc.com",https://timesofindia.indiatimes.com/; https://indianexpress.com/; https://epaper.thehindu.com/reader
2025-10-18 13:05:55,"""India Working On 2 nm Chip"": Ashwini Vaishnaw Shows 'Wafer' At NDTV Summit",VERIFIED REAL,0.90,Web Verified (2+ sources),real,"timesofindia.indiatimes.com, thehindu.com, reuters.com, bbc.com, indianexpress.com",https://timesofindia.indiatimes.com/; https://epaper.thehindu.com/reader; https://indianexpress.com/
2025-10-18 13:26:46,"""India Working On 2 nm Chip"": Ashwini Vaishnaw Shows 'Wafer' At NDTV Summit",VERIFIED REAL,0.95,Highly Verified,real,BBC Australia: https://www.bbc.com/news/articles/cwy196k9p4po; BBC UK: https://www.bbc.com/news/articles/c5ylxn8g2y2o; BBC Israel-Gaza: https://www.bbc.com/news/articles/c5ylxn8g2y2o; BBC Live News: https://www.bbc.com/news/live/cz6nw7e2pjlt; BBC News: https://www.bbc.com/news/articles/c5ylxn8g2y2o; Hindu Latest: https://www.thehindu.com/news/national/; Hindu National: https://www.thehindu.com/news/national/; Hindu India: https://www.thehindu.com/news/national/; TOI World: https://timesofindia.indiatimes.com/world/pakistan/pak-sponsors-terror-blames-neighbours-for-own-failures-india-on-af-pak-clashes-fully-backs-kabul/articleshow/124605029.cms
2025-10-18 13:27:56,"India will not be buying oil from Russia: Trump reiterates October 18, 2025e-Paper The View From India
									Looking at World Affairs from the Indi",VERIFIED REAL,0.95,Highly Verified,real,BBC Asia: https://www.bbc.com/news/world/asia/india; BBC Ukraine: https://www.bbc.com/news/world/asia/india; BBC India: https://www.bbc.com/news/world/asia/india; BBC UK: https://www.bbc.com/news/world/asia/india; BBC News: https://www.bbc.com/news/world/asia/india; BBC Europe: https://www.bbc.com/news/world/asia/india; BBC Africa: https://www.bbc.com/news/world/asia/india; BBC Israel-Gaza: https://www.bbc.com/news/world/asia/india; BBC Australia: https://www.bbc.com/news/world/asia/india; BBC US & Canada: https://www.bbc.com/news/world/asia/india; BBC Middle East: https://www.bbc.com/news/world/asia/india; BBC Scotland: https://www.bbc.com/news/world/asia/india; BBC Politics: https://www.bbc.com/news/world/asia/india; BBC Wales: https://www.bbc.com/news/world/asia/india; BBC England: https://www.bbc.com/news/world/asia/india; BBC Live News: https://www.bbc.com/news/world/asia/india; Hindu Latest: https://www.thehindu.com/news/national/; TOI India: https://timesofindia.indiatimes.com/india; Hindu India: https://www.thehindu.com/news/national/; TOI World: https://timesofindia.indiatimes.com/world/middle-east/mark-your-calendars-uae-union-march-2025-full-guide-to-date-timings-venue-registrationdetails/articleshow/124659144.cms; Hindu National: https://www.thehindu.com/news/national/; IE World: https://indianexpress.com/newsletters/; IE India: https://indianexpress.com/newsletters/; IE Latest: https://indianexpress.com/newsletters/
2025-10-18 13:39:24,"""India Working On 2 nm Chip"": Ashwini Vaishnaw Shows 'Wafer' At NDTV Summit",UNVERIFIED,0.50,Cannot Verify,real,None
2025-10-18 13:39:55,"""India Working On 2 nm Chip"": Ashwini Vaishnaw Shows 'Wafer' At NDTV Summit Digital credit, fast mobile data and large language models (LLMs) - these ",UNVERIFIED,0.50,Cannot Verify,real,None
2025-10-18 13:59:56,"""India Working On 2 nm Chip"": Ashwini Vaishnaw Shows 'Wafer' At NDTV Summit",UNVERIFIED,0.50,Cannot Verify,real,None
2025-10-18 14:02:36,"""India Working On 2 nm Chip"": Ashwini Vaishnaw Shows 'Wafer' At NDTV Summit",UNVERIFIED,0.50,Cannot Verify,real,None
2025-10-18 14:03:26,'Pak Attacked Afghanistan': What Trump Said On Brokering Peace,UNVERIFIED,0.50,Cannot Verify,real,None
2025-10-18 14:04:08,Zelensky fails to secure Tomahawk missiles at talks with Trump,UNVERIFIED,0.50,Cannot Verify,real,None
2025-10-18 14:08:52,Zelensky fails to secure Tomahawk missiles at talks with Trump,LIKELY REAL,0.75,Single Source,real,BBC (88%): https://news.google.com/rss/articles/CBMiWkFVX3lxTFA0U0U4cTFUanNnQWp0Wno5UmtNUmN0MW12dm53OEpwaFFRNUFMNDlzOVYybDNBSTVDRjkxNDJzQW85Vy1wd3RBUEh6UlFadER6Y1ZXSU5PMjRiUdIBX0FVX3lxTFBsS0NoQm91dTVtRHF4WUR0M0FyaVJ3bnlYZTVrUEEwYmtOMGdfbmNLQ3JIMEFFWG1Za2ZQQnExZUQ3b1ZJQm9yT3VOa0p4NEItT21KMTZDSVk1Q195UTJR?oc=5
2025-10-18 14:10:44,Ishant becmae the President of India,UNVERIFIED,0.50,Cannot Verify,real,None
2025-10-18 21:03:40,Disappointment in Kyiv as Zelensky leaves White House empty-handed,LIKELY REAL,0.75,Single Source,real,BBC (73%): https://news.google.com/rss/articles/CBMiXEFVX3lxTFA4ZUs0VjFtUFpvc1A2MTl1MW0yNVVlOU1KU0tNellIdmR3ckJzSDI2aWtZUkcxby1ZM004VUhZU2V4NzRLRDVFOXdPWDRLSkpfTWVETGJHUEJ1MndW0gFiQVVfeXFMTWlMUXY0UEJZTVJ1MFZVVnUtbTlSdHBfZlhiRlNCdnR2YUI4T2VNMk9MOXgyTGowMzBuTUo3VUFpdU5UeWxucUZoNmVjNWk5NDVuaXluQko4RWw0Yl9zOURCd2c?oc=5
2025-10-18 21:12:16,Disappointment in Kyiv as Zelensky leaves White House empty-handed,LIKELY REAL,0.75,Single Source,real,BBC (73%): https://news.google.com/rss/articles/CBMiXEFVX3lxTFA4ZUs0VjFtUFpvc1A2MTl1MW0yNVVlOU1KU0tNellIdmR3ckJzSDI2aWtZUkcxby1ZM004VUhZU2V4NzRLRDVFOXdPWDRLSkpfTWVETGJHUEJ1MndW0gFiQVVfeXFMTWlMUXY0UEJZTVJ1MFZVVnUtbTlSdHBfZlhiRlNCdnR2YUI4T2VNMk9MOXgyTGowMzBuTUo3VUFpdU5UeWxucUZoNmVjNWk5NDVuaXluQko4RWw0Yl9zOURCd2c?oc=5
2025-10-18 21:17:12,Ishant is the President of India,UNVERIFIED,0.50,Cannot Verify,real,None
2025-10-18 21:19:14,Disappointment in Kyiv as Zelensky leaves White House empty-handed,LIKELY REAL,0.75,Single Source,real,BBC (73%): https://news.google.com/rss/articles/CBMiXEFVX3lxTFA4ZUs0VjFtUFpvc1A2MTl1MW0yNVVlOU1KU0tNellIdmR3ckJzSDI2aWtZUkcxby1ZM004VUhZU2V4NzRLRDVFOXdPWDRLSkpfTWVETGJHUEJ1MndW0gFiQVVfeXFMTWlMUXY0UEJZTVJ1MFZVVnUtbTlSdHBfZlhiRlNCdnR2YUI4T2VNMk9MOXgyTGowMzBuTUo3VUFpdU5UeWxucUZoNmVjNWk5NDVuaXluQko4RWw0Yl9zOURCd2c?oc=5
2025-10-18 21:20:06,India President Changed after crises,UNVERIFIED,0.50,Cannot Verify,real,None
